Time	S	E	I	P	ES	EI	k_es	k_ei	k_res	k_rei	k_cat	k_Igen	k_Pinh	k_Ideg	k_Pdeg	k_Sdeg	k_Sinp	ProS
0	10.0	0.0	20.0	0.0	0.0	1.0	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
1	3.6550300000000004	0.054437400000000004	13.5446	0.00885121	0.145945	0.799618	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
2	1.4093	0.0774125	10.4082	0.021971200000000003	0.13508399999999998	0.787503	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
3	0.6026189999999999	0.0957865	8.77417	0.030623700000000004	0.091099	0.813114	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
4	0.302356	0.10763900000000001	7.95828	0.0345375	0.055393	0.836968	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
5	0.184926	0.11384100000000001	7.59355	0.0353699	0.033620599999999994	0.8525379999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
6	0.136594	0.116301	7.470460000000001	0.034576199999999994	0.0219128	0.8617870000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
7	0.115846	0.116664	7.47195	0.0330522	0.0159936	0.8673420000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
8	0.106677	0.11598800000000001	7.53454	0.0312714	0.013073500000000002	0.8709379999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
9	0.10255299999999999	0.11485899999999999	7.62472	0.0294617	0.011626000000000001	0.8735149999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
10	0.10067999999999999	0.113574	7.725210000000001	0.027724799999999997	0.0108825	0.8755430000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
11	0.0998263	0.112278	7.82733	0.026100400000000003	0.0104725	0.877249	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
12	0.0994369	0.111035	7.926830000000001	0.024600200000000003	0.010221700000000002	0.8787440000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
13	0.09925969999999999	0.10987000000000001	8.02177	0.0232232	0.010048999999999999	0.880081	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
14	0.09917949999999999	0.10879200000000001	8.11132	0.021962799999999998	0.00991692	0.8812909999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
15	0.09914339999999999	0.1078	8.19524	0.0208111	0.00980776	0.882393	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
16	0.09912760000000001	0.10689000000000001	8.27355	0.0197593	0.00971322	0.883397	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
17	0.0991209	0.106056	8.34644	0.018799200000000002	0.00962914	0.884315	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
18	0.09911829999999999	0.105294	8.41414	0.0179228	0.00955333	0.8851530000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
19	0.0991175	0.10459600000000001	8.47691	0.0171229	0.0094845	0.885919	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
20	0.0991175	0.103959	8.53503	0.016393	0.0094218	0.8866200000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
21	0.0991178	0.103376	8.58878	0.0157268	0.00936458	0.88726	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
22	0.0991182	0.102843	8.63843	0.0151187	0.00931232	0.8878450000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
23	0.0991187	0.10235599999999999	8.68425	0.0145638	0.00926459	0.8883790000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
24	0.0991191	0.101912	8.7265	0.014057399999999998	0.00922098	0.888867	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
25	0.0991196	0.101506	8.765419999999999	0.0135952	0.00918114	0.8893129999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
26	0.0991199	0.101134	8.80125	0.0131734	0.00914474	0.8897209999999999	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
27	0.0991203	0.10079500000000001	8.83421	0.0127884	0.00911149	0.890093	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
28	0.0991206	0.100486	8.864510000000001	0.012437	0.00908112	0.890433	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
29	0.0991209	0.100203	8.89235	0.0121163	0.00905338	0.8907440000000001	1	1	1	1	0.1	10	10	1	0.1	1	1	0.1
