Time,E,EI,ES,I,P,S
0,0.0,1.0,0.0,20.0,0.0,10.0
1,0.0544374,0.799618,0.145945,13.5446,0.00885121,3.65503
2,0.0774125,0.787503,0.13508399999999998,10.4082,0.021971200000000003,1.4093
3,0.0957865,0.813114,0.091099,8.77417,0.030623700000000007,0.6026189999999999
4,0.107639,0.836968,0.055393,7.95828,0.0345375,0.302356
5,0.113841,0.8525379999999999,0.033620599999999994,7.59355,0.0353699,0.184926
6,0.116301,0.8617870000000001,0.0219128,7.470460000000001,0.034576199999999994,0.136594
7,0.116664,0.8673420000000001,0.0159936,7.47195,0.0330522,0.115846
8,0.115988,0.8709379999999999,0.013073500000000002,7.53454,0.0312714,0.106677
9,0.114859,0.8735149999999999,0.011626,7.62472,0.0294617,0.102553
10,0.113574,0.8755430000000001,0.0108825,7.7252100000000015,0.0277248,0.10068
11,0.112278,0.877249,0.0104725,7.82733,0.026100400000000003,0.0998263
12,0.111035,0.8787440000000001,0.010221700000000002,7.926830000000002,0.024600200000000003,0.0994369
13,0.10987,0.880081,0.010049,8.02177,0.0232232,0.0992597
14,0.108792,0.8812909999999999,0.00991692,8.11132,0.0219628,0.0991795
15,0.1078,0.882393,0.00980776,8.19524,0.0208111,0.0991434
16,0.10689,0.883397,0.00971322,8.27355,0.0197593,0.0991276
17,0.106056,0.884315,0.00962914,8.34644,0.0187992,0.0991209
18,0.105294,0.8851530000000001,0.00955333,8.41414,0.0179228,0.0991183
19,0.104596,0.885919,0.0094845,8.47691,0.0171229,0.0991175
20,0.103959,0.8866200000000001,0.0094218,8.53503,0.016393,0.0991175
21,0.103376,0.88726,0.00936458,8.58878,0.0157268,0.0991178
22,0.102843,0.8878450000000001,0.00931232,8.63843,0.0151187,0.0991182
23,0.102356,0.8883790000000001,0.00926459,8.68425,0.0145638,0.0991187
24,0.101912,0.888867,0.00922098,8.7265,0.014057399999999998,0.0991191
25,0.101506,0.8893129999999999,0.00918114,8.765419999999999,0.0135952,0.0991196
26,0.101134,0.8897209999999999,0.00914474,8.80125,0.0131734,0.0991199
27,0.100795,0.890093,0.00911149,8.83421,0.0127884,0.0991203
28,0.100486,0.890433,0.00908112,8.864510000000003,0.012437,0.0991206
29,0.100203,0.8907440000000001,0.00905338,8.89235,0.0121163,0.0991209
30,0.0999448,0.891027,0.00902804,8.917910000000003,0.0118236,0.0991212
31,0.0997089,0.891286,0.0090049,8.94137,0.0115564,0.0991214
32,0.0994935,0.891523,0.00898377,8.96289,0.0113125,0.0991216
33,0.0992968,0.891739,0.00896447,8.982619999999997,0.01109,0.0991218
34,0.0991172,0.8919360000000001,0.00894684,9.00071,0.0108868,0.099122
35,0.0989532,0.892116,0.00893075,9.01728,0.0107014,0.0991221
36,0.0988034,0.892281,0.00891605,9.03246,0.0105322,0.0991223
37,0.0986667,0.892431,0.00890263,9.04636,0.0103777,0.0991224
38,0.0985418,0.892568,0.00889038,9.05908,0.0102368,0.0991225
39,0.0984279,0.8926930000000001,0.0088792,9.07073,0.0101081,0.0991227
40,0.0983238,0.892807,0.00886898,9.08138,0.00999065,0.0991228
41,0.0982288,0.892912,0.00885966,9.09113,0.00988345,0.0991229
42,0.0981421,0.893007,0.00885115,9.10005,0.00978561,0.0991229
43,0.0980629,0.893094,0.00884338,9.1082,0.00969631,0.099123
44,0.0979906,0.893173,0.00883628,9.11566,0.00961479,0.0991231
